Area,CancerType,Year,Sex,Race,AgeAdjustedRate,CaseCount,Population,DeathCount,Code
Colorado,Pancreas,2017,Male and Female,All Races,11.7,724,5615902,551,CO
Connecticut,Pancreas,2017,Male and Female,All Races,12.6,599,3573880,519,CT
Delaware,Pancreas,2017,Male and Female,All Races,13.5,176,957078,161,DE
District of Columbia,Pancreas,2017,Male and Female,All Races,15.6,104,695691,76,DC
Florida,Pancreas,2017,Male and Female,All Races,12.5,3859,20976812,3289,FL
Georgia,Pancreas,2017,Male and Female,All Races,12.5,1415,10413055,1156,GA
Hawaii,Pancreas,2017,Male and Female,All Races,15.1,278,1424203,225,HI
Idaho,Pancreas,2017,Male and Female,All Races,15.1,298,1718904,244,ID
Illinois,Pancreas,2017,Male and Female,All Races,14.1,2184,12786196,1734,IL
Indiana,Pancreas,2017,Male and Female,All Races,12.5,1000,6660082,955,IN
Iowa,Pancreas,2017,Male and Female,All Races,13.1,534,3143637,462,IA
Kansas,Pancreas,2017,Male and Female,All Races,11.1,389,2910689,372,KS
Kentucky,Pancreas,2017,Male and Female,All Races,13,725,4453874,593,KY
Louisiana,Pancreas,2017,Male and Female,All Races,13.1,725,4670818,672,LA
Maine,Pancreas,2017,Male and Female,All Races,11.8,238,1335063,240,ME
Maryland,Pancreas,2017,Male and Female,All Races,13.7,985,6024891,802,MD
Massachusetts,Pancreas,2017,Male and Female,All Races,13.2,1146,6863246,1003,MA
Michigan,Pancreas,2017,Male and Female,All Races,13.7,1762,9976447,1661,MI
Minnesota,Pancreas,2017,Male and Female,All Races,13.1,875,5568155,777,MN
Mississippi,Pancreas,2017,Male and Female,All Races,13.3,484,2989663,477,MS
Missouri,Pancreas,2017,Male and Female,All Races,13,1020,6108612,904,MO
Montana,Pancreas,2017,Male and Female,All Races,11.5,163,1053090,153,MT
Nebraska,Pancreas,2017,Male and Female,All Races,12.5,279,1917575,274,NE
Nevada,Pancreas,2017,Male and Female,All Races,13.3,464,2972405,380,NV
New Hampshire,Pancreas,2017,Male and Female,All Races,13,239,1349767,189,NH
New Jersey,Pancreas,2017,Male and Female,All Races,15.3,1709,8888543,1336,NJ
New Mexico,Pancreas,2017,Male and Female,All Races,10.4,280,2093395,268,NM
New York,Pancreas,2017,Male and Female,All Races,14.6,3598,19590719,2785,NY
North Carolina,Pancreas,2017,Male and Female,All Races,13.1,1659,10270800,1365,NC
North Dakota,Pancreas,2017,Male and Female,All Races,10.8,97,755176,104,ND
Ohio,Pancreas,2017,Male and Female,All Races,13,1956,11664129,1854,OH
Oklahoma,Pancreas,2017,Male and Female,All Races,11.4,535,3932640,518,OK
Oregon,Pancreas,2017,Male and Female,All Races,13.4,714,4146592,640,OR
Pennsylvania,Pancreas,2017,Male and Female,All Races,14.7,2587,12790447,2203,PA
Rhode Island,Pancreas,2017,Male and Female,All Races,11.6,164,1056486,154,RI
South Carolina,Pancreas,2017,Male and Female,All Races,13.7,883,5021219,768,SC
South Dakota,Pancreas,2017,Male and Female,All Races,12.5,137,873286,124,SD
Tennessee,Pancreas,2017,Male and Female,All Races,12.4,1030,6708794,935,TN
Texas,Pancreas,2017,Male and Female,All Races,12.6,3540,28322717,2815,TX
Utah,Pancreas,2017,Male and Female,All Races,11,299,3103118,232,UT
Vermont,Pancreas,2017,Male and Female,All Races,12.8,112,624525,101,VT
Virginia,Pancreas,2017,Male and Female,All Races,12,1199,8465207,1139,VA
Washington,Pancreas,2017,Male and Female,All Races,12.9,1115,7425432,945,WA
West Virginia,Pancreas,2017,Male and Female,All Races,12.9,338,1817048,277,WV
Wisconsin,Pancreas,2017,Male and Female,All Races,13.1,981,5792051,858,WI
Wyoming,Pancreas,2017,Male and Female,All Races,12,85,578934,74,WY
Alabama,Prostate,2017,Male,All Races,129.8,3907,2359077,464,AL
Alaska,Prostate,2017,Male,All Races,89.5,338,386423,39,AK
Arizona,Prostate,2017,Male,All Races,79.7,3504,3504020,663,AZ
Arkansas,Prostate,2017,Male,All Races,119.7,2227,1475417,267,AR
California,Prostate,2017,Male,All Races,93.9,20053,19581670,3468,CA
Colorado,Prostate,2017,Male,All Races,91.2,2847,2826740,509,CO
Connecticut,Prostate,2017,Male,All Races,122.2,2788,1743466,373,CT
Delaware,Prostate,2017,Male,All Races,122.6,786,462851,82,DE
District of Columbia,Prostate,2017,Male,All Races,143,432,330058,57,DC
Florida,Prostate,2017,Male,All Races,84.1,12463,10256331,2409,FL
Georgia,Prostate,2017,Male,All Races,131.8,7337,5066288,895,GA
Hawaii,Prostate,2017,Male,All Races,98.9,901,714182,128,HI
Idaho,Prostate,2017,Male,All Races,111.1,1159,861051,164,ID
Illinois,Prostate,2017,Male,All Races,111.2,8313,6282051,1273,IL
Indiana,Prostate,2017,Male,All Races,94.6,3681,3283306,594,IN
Iowa,Prostate,2017,Male,All Races,116.4,2324,1563778,348,IA
Kansas,Prostate,2017,Male,All Races,116.8,2017,1450218,273,KS
Kentucky,Prostate,2017,Male,All Races,108.8,2961,2194331,404,KY
Louisiana,Prostate,2017,Male,All Races,135.3,3675,2281998,461,LA
Maine,Prostate,2017,Male,All Races,96.9,981,653722,167,ME
Maryland,Prostate,2017,Male,All Races,124.7,4402,2920753,555,MD
Massachusetts,Prostate,2017,Male,All Races,108.1,4560,3331060,640,MA
Michigan,Prostate,2017,Male,All Races,105.7,6823,4911292,924,MI
Minnesota,Prostate,2017,Male,All Races,119.3,4091,2772525,582,MN
Mississippi,Prostate,2017,Male,All Races,128.4,2259,1450250,373,MS
Missouri,Prostate,2017,Male,All Races,90.3,3468,2998664,537,MO
Montana,Prostate,2017,Male,All Races,130.9,995,530165,160,MT
Nebraska,Prostate,2017,Male,All Races,132.4,1503,957256,179,NE
Nevada,Prostate,2017,Male,All Races,95.5,1739,1491290,259,NV
New Hampshire,Prostate,2017,Male,All Races,113.7,1100,668358,147,NH
New Jersey,Prostate,2017,Male,All Races,139.6,7477,4340245,767,NJ
New Mexico,Prostate,2017,Male,All Races,81.7,1081,1036310,218,NM
New York,Prostate,2017,Male,All Races,128.2,14996,9511225,1812,NY
North Carolina,Prostate,2017,Male,All Races,120.7,7431,4998321,910,NC
North Dakota,Prostate,2017,Male,All Races,110.3,491,387042,79,ND
Ohio,Prostate,2017,Male,All Races,109.9,8155,5716369,1211,OH
Oklahoma,Prostate,2017,Male,All Races,91.4,2097,1948162,388,OK
Oregon,Prostate,2017,Male,All Races,91.2,2491,2055236,441,OR
Pennsylvania,Prostate,2017,Male,All Races,102.4,8747,6263536,1347,PA
Rhode Island,Prostate,2017,Male,All Races,99.2,659,513556,116,RI
South Carolina,Prostate,2017,Male,All Races,107.5,3488,2435459,557,SC
South Dakota,Prostate,2017,Male,All Races,116.7,649,441021,71,SD
Tennessee,Prostate,2017,Male,All Races,118.6,4874,3273107,644,TN
Texas,Prostate,2017,Male,All Races,98.7,13729,14071779,1938,TX
Utah,Prostate,2017,Male,All Races,112.3,1526,1562805,212,UT
Vermont,Prostate,2017,Male,All Races,100.1,463,308405,70,VT
Virginia,Prostate,2017,Male,All Races,99.7,5022,4165587,775,VA
Washington,Prostate,2017,Male,All Races,98.7,4392,3713660,677,WA
West Virginia,Prostate,2017,Male,All Races,95.3,1255,899496,177,WV
Wisconsin,Prostate,2017,Male,All Races,112.6,4284,2880390,641,WI
Wyoming,Prostate,2017,Male,All Races,126.7,489,295328,41,WY
Alabama,Stomach,2017,Male and Female,All Races,7.1,429,4875120,177,AL
Alaska,Stomach,2017,Male and Female,All Races,7.5,51,739786,26,AK
Arizona,Stomach,2017,Male and Female,All Races,5,434,7048876,204,AZ
Arkansas,Stomach,2017,Male and Female,All Races,6,224,3002997,102,AR
California,Stomach,2017,Male and Female,All Races,7.3,3115,39399349,1640,CA
Colorado,Stomach,2017,Male and Female,All Races,5.2,312,5615902,141,CO
Connecticut,Stomach,2017,Male and Female,All Races,7.4,347,3573880,159,CT
Delaware,Stomach,2017,Male and Female,All Races,5.4,69,957078,40,DE
District of Columbia,Stomach,2017,Male and Female,All Races,7.3,48,695691,22,DC
Florida,Stomach,2017,Male and Female,All Races,5.5,1639,20976812,789,FL
Georgia,Stomach,2017,Male and Female,All Races,6.1,681,10413055,302,GA
Hawaii,Stomach,2017,Male and Female,All Races,8.4,159,1424203,69,HI
Idaho,Stomach,2017,Male and Female,All Races,4.5,90,1718904,40,ID
Illinois,Stomach,2017,Male and Female,All Races,7.1,1069,12786196,486,IL
Indiana,Stomach,2017,Male and Female,All Races,5.7,451,6660082,166,IN
Iowa,Stomach,2017,Male and Female,All Races,4.3,171,3143637,79,IA
Kansas,Stomach,2017,Male and Female,All Races,4.9,169,2910689,70,KS
Kentucky,Stomach,2017,Male and Female,All Races,6.2,341,4453874,153,KY
Louisiana,Stomach,2017,Male and Female,All Races,7.1,389,4670818,174,LA
Maine,Stomach,2017,Male and Female,All Races,5.6,107,1335063,30,ME
Maryland,Stomach,2017,Male and Female,All Races,6.6,467,6024891,190,MD
Massachusetts,Stomach,2017,Male and Female,All Races,6.2,522,6863246,269,MA
Michigan,Stomach,2017,Male and Female,All Races,5.7,700,9976447,292,MI
Minnesota,Stomach,2017,Male and Female,All Races,5.4,359,5568155,144,MN
Mississippi,Stomach,2017,Male and Female,All Races,6.6,238,2989663,105,MS
Missouri,Stomach,2017,Male and Female,All Races,5.2,396,6108612,164,MO
Montana,Stomach,2017,Male and Female,All Races,5.5,76,1053090,26,MT
Nebraska,Stomach,2017,Male and Female,All Races,4.8,109,1917575,56,NE
Nevada,Stomach,2017,Male and Female,All Races,4.6,160,2972405,85,NV
New Hampshire,Stomach,2017,Male and Female,All Races,5.4,96,1349767,37,NH
New Jersey,Stomach,2017,Male and Female,All Races,7.8,855,8888543,338,NJ
New Mexico,Stomach,2017,Male and Female,All Races,7.7,194,2093395,101,NM
New York,Stomach,2017,Male and Female,All Races,8.7,2066,19590719,805,NY
North Carolina,Stomach,2017,Male and Female,All Races,6.5,786,10270800,349,NC
North Dakota,Stomach,2017,Male and Female,All Races,5.4,47,755176,21,ND
Ohio,Stomach,2017,Male and Female,All Races,6,874,11664129,364,OH
Oklahoma,Stomach,2017,Male and Female,All Races,5.2,239,3932640,114,OK
Oregon,Stomach,2017,Male and Female,All Races,4.7,239,4146592,97,OR
Pennsylvania,Stomach,2017,Male and Female,All Races,5.7,976,12790447,455,PA
Rhode Island,Stomach,2017,Male and Female,All Races,7.6,101,1056486,33,RI
South Carolina,Stomach,2017,Male and Female,All Races,6.3,410,5021219,207,SC
South Dakota,Stomach,2017,Male and Female,All Races,4.8,52,873286,20,SD
Tennessee,Stomach,2017,Male and Female,All Races,5.4,434,6708794,199,TN
Texas,Stomach,2017,Male and Female,All Races,6.4,1795,28322717,956,TX
Utah,Stomach,2017,Male and Female,All Races,4.6,122,3103118,62,UT
Vermont,Stomach,2017,Male and Female,All Races,8,64,624525,23,VT
Virginia,Stomach,2017,Male and Female,All Races,5.7,561,8465207,298,VA
Washington,Stomach,2017,Male and Female,All Races,5.5,474,7425432,240,WA
West Virginia,Stomach,2017,Male and Female,All Races,5.2,133,1817048,60,WV
Wisconsin,Stomach,2017,Male and Female,All Races,5.8,421,5792051,169,WI
Wyoming,Stomach,2017,Male and Female,All Races,3.9,25,578934,Na,WY
Alabama,Testis,2017,Male,All Races,4.1,92,2359077,Na,AL
Alaska,Testis,2017,Male,All Races,5.2,22,386423,Na,AK
Arizona,Testis,2017,Male,All Races,5.3,183,3504020,Na,AZ
Arkansas,Testis,2017,Male,All Races,5.1,71,1475417,Na,AR
California,Testis,2017,Male,All Races,6.2,1249,19581670,76,CA
Colorado,Testis,2017,Male,All Races,5.6,162,2826740,Na,CO
Connecticut,Testis,2017,Male,All Races,6.5,108,1743466,Na,CT
Delaware,Testis,2017,Male,All Races,3.4,16,462851,Na,DE
District of Columbia,Testis,2017,Male,All Races,6.1,25,330058,Na,DC
Florida,Testis,2017,Male,All Races,4.6,441,10256331,25,FL
Georgia,Testis,2017,Male,All Races,4.2,207,5066288,Na,GA
Hawaii,Testis,2017,Male,All Races,5.2,38,714182,Na,HI
Idaho,Testis,2017,Male,All Races,5.8,46,861051,Na,ID
Illinois,Testis,2017,Male,All Races,6,364,6282051,18,IL
Indiana,Testis,2017,Male,All Races,4.8,145,3283306,Na,IN
Iowa,Testis,2017,Male,All Races,7.8,113,1563778,Na,IA
Kansas,Testis,2017,Male,All Races,5.9,82,1450218,Na,KS
Kentucky,Testis,2017,Male,All Races,5.8,122,2194331,Na,KY
Louisiana,Testis,2017,Male,All Races,4.7,104,2281998,Na,LA
Maine,Testis,2017,Male,All Races,8.2,48,653722,Na,ME
Maryland,Testis,2017,Male,All Races,4.4,125,2920753,Na,MD
Massachusetts,Testis,2017,Male,All Races,5.4,171,3331060,Na,MA
Michigan,Testis,2017,Male,All Races,6.1,289,4911292,Na,MI
Minnesota,Testis,2017,Male,All Races,6.7,181,2772525,Na,MN
Mississippi,Testis,2017,Male,All Races,4.7,63,1450250,Na,MS
Missouri,Testis,2017,Male,All Races,5.4,155,2998664,Na,MO
Montana,Testis,2017,Male,All Races,6.6,33,530165,Na,MT
Nebraska,Testis,2017,Male,All Races,6.3,59,957256,Na,NE
Nevada,Testis,2017,Male,All Races,6.6,96,1491290,Na,NV
New Hampshire,Testis,2017,Male,All Races,7.5,46,668358,Na,NH
New Jersey,Testis,2017,Male,All Races,5.9,252,4340245,Na,NJ
New Mexico,Testis,2017,Male,All Races,6.3,62,1036310,Na,NM
New York,Testis,2017,Male,All Races,6.1,573,9511225,22,NY
North Carolina,Testis,2017,Male,All Races,5,241,4998321,Na,NC
North Dakota,Testis,2017,Male,All Races,7.2,29,387042,Na,ND
Ohio,Testis,2017,Male,All Races,5.2,278,5716369,16,OH
Oklahoma,Testis,2017,Male,All Races,4.3,78,1948162,Na,OK
Oregon,Testis,2017,Male,All Races,6.2,125,2055236,Na,OR
Pennsylvania,Testis,2017,Male,All Races,5.7,340,6263536,Na,PA
Rhode Island,Testis,2017,Male,All Races,6.1,31,513556,Na,RI
South Carolina,Testis,2017,Male,All Races,4,98,2435459,Na,SC
South Dakota,Testis,2017,Male,All Races,4.2,17,441021,Na,SD
Tennessee,Testis,2017,Male,All Races,5.8,180,3273107,Na,TN
Texas,Testis,2017,Male,All Races,5.4,772,14071779,44,TX
Utah,Testis,2017,Male,All Races,8.6,133,1562805,Na,UT
Vermont,Testis,2017,Male,All Races,7.7,23,308405,Na,VT
Virginia,Testis,2017,Male,All Races,4.5,187,4165587,Na,VA
Washington,Testis,2017,Male,All Races,6.1,229,3713660,Na,WA
West Virginia,Testis,2017,Male,All Races,5.3,48,899496,Na,WV
Wisconsin,Testis,2017,Male,All Races,6.5,175,2880390,Na,WI
Wyoming,Testis,2017,Male,All Races,8.6,24,295328,Na,WY
Alabama,Thyroid,2017,Male and Female,All Races,9.9,521,4875120,20,AL
Alaska,Thyroid,2017,Male and Female,All Races,12.8,96,739786,Na,AK
Arizona,Thyroid,2017,Male and Female,All Races,12.2,888,7048876,38,AZ
Arkansas,Thyroid,2017,Male and Female,All Races,12,380,3002997,16,AR
California,Thyroid,2017,Male and Female,All Races,12.7,5202,39399349,246,CA
Colorado,Thyroid,2017,Male and Female,All Races,13.7,802,5615902,38,CO
Connecticut,Thyroid,2017,Male and Female,All Races,16.9,634,3573880,22,CT
Delaware,Thyroid,2017,Male and Female,All Races,13.4,137,957078,Na,DE
District of Columbia,Thyroid,2017,Male and Female,All Races,12.2,87,695691,Na,DC
Florida,Thyroid,2017,Male and Female,All Races,11.9,2737,20976812,132,FL
Georgia,Thyroid,2017,Male and Female,All Races,11.8,1286,10413055,47,GA
Hawaii,Thyroid,2017,Male and Female,All Races,14,206,1424203,19,HI
Idaho,Thyroid,2017,Male and Female,All Races,12.5,217,1718904,Na,ID
Illinois,Thyroid,2017,Male and Female,All Races,13.1,1784,12786196,75,IL
Indiana,Thyroid,2017,Male and Female,All Races,11.7,797,6660082,38,IN
Iowa,Thyroid,2017,Male and Female,All Races,12.8,412,3143637,21,IA
Kansas,Thyroid,2017,Male and Female,All Races,14.1,413,2910689,Na,KS
Kentucky,Thyroid,2017,Male and Female,All Races,15.8,752,4453874,25,KY
Louisiana,Thyroid,2017,Male and Female,All Races,14.4,698,4670818,29,LA
Maine,Thyroid,2017,Male and Female,All Races,13.7,199,1335063,Na,ME
Maryland,Thyroid,2017,Male and Female,All Races,12.2,785,6024891,31,MD
Massachusetts,Thyroid,2017,Male and Female,All Races,16.9,1253,6863246,47,MA
Michigan,Thyroid,2017,Male and Female,All Races,11.5,1216,9976447,49,MI
Minnesota,Thyroid,2017,Male and Female,All Races,12,684,5568155,28,MN
Mississippi,Thyroid,2017,Male and Female,All Races,8.8,275,2989663,Na,MS
Missouri,Thyroid,2017,Male and Female,All Races,11.5,740,6108612,33,MO
Montana,Thyroid,2017,Male and Female,All Races,13.5,148,1053090,Na,MT
Nebraska,Thyroid,2017,Male and Female,All Races,16.2,309,1917575,Na,NE
Nevada,Thyroid,2017,Male and Female,All Races,13.5,425,2972405,Na,NV
New Hampshire,Thyroid,2017,Male and Female,All Races,12.8,194,1349767,Na,NH
New Jersey,Thyroid,2017,Male and Female,All Races,17.7,1714,8888543,59,NJ
New Mexico,Thyroid,2017,Male and Female,All Races,14.5,324,2093395,Na,NM
New York,Thyroid,2017,Male and Female,All Races,18.4,3853,19590719,128,NY
North Carolina,Thyroid,2017,Male and Female,All Races,10.8,1177,10270800,66,NC
North Dakota,Thyroid,2017,Male and Female,All Races,17.1,124,755176,Na,ND
Ohio,Thyroid,2017,Male and Female,All Races,14.8,1842,11664129,62,OH
Oklahoma,Thyroid,2017,Male and Female,All Races,12.4,497,3932640,19,OK
Oregon,Thyroid,2017,Male and Female,All Races,12.1,537,4146592,30,OR
Pennsylvania,Thyroid,2017,Male and Female,All Races,17.9,2463,12790447,85,PA
Rhode Island,Thyroid,2017,Male and Female,All Races,14.3,163,1056486,Na,RI
South Carolina,Thyroid,2017,Male and Female,All Races,10.2,554,5021219,25,SC
South Dakota,Thyroid,2017,Male and Female,All Races,12.6,108,873286,Na,SD
Tennessee,Thyroid,2017,Male and Female,All Races,11.2,811,6708794,49,TN
Texas,Thyroid,2017,Male and Female,All Races,10.7,3042,28322717,134,TX
Utah,Thyroid,2017,Male and Female,All Races,14.8,421,3103118,17,UT
Vermont,Thyroid,2017,Male and Female,All Races,14.6,96,624525,Na,VT
Virginia,Thyroid,2017,Male and Female,All Races,12.4,1110,8465207,42,VA
Washington,Thyroid,2017,Male and Female,All Races,12.7,991,7425432,37,WA
West Virginia,Thyroid,2017,Male and Female,All Races,17.9,352,1817048,Na,WV
Wisconsin,Thyroid,2017,Male and Female,All Races,13.5,830,5792051,49,WI
Wyoming,Thyroid,2017,Male and Female,All Races,15.7,93,578934,Na,WY
Alabama,Urinary Bladder,2017,Male and Female,All Races,17.9,1101,4875120,242,AL
Alaska,Urinary Bladder,2017,Male and Female,All Races,21,142,739786,27,AK
Arizona,Urinary Bladder,2017,Male and Female,All Races,17.4,1579,7048876,365,AZ
Arkansas,Urinary Bladder,2017,Male and Female,All Races,21,792,3002997,159,AR
California,Urinary Bladder,2017,Male and Female,All Races,15.6,6794,39399349,1649,CA
Colorado,Urinary Bladder,2017,Male and Female,All Races,17.3,1032,5615902,225,CO
Connecticut,Urinary Bladder,2017,Male and Female,All Races,23.6,1119,3573880,209,CT
Delaware,Urinary Bladder,2017,Male and Female,All Races,21.5,279,957078,47,DE
District of Columbia,Urinary Bladder,2017,Male and Female,All Races,15.1,101,695691,30,DC
Florida,Urinary Bladder,2017,Male and Female,All Races,17.1,5411,20976812,1436,FL
Georgia,Urinary Bladder,2017,Male and Female,All Races,18,1974,10413055,459,GA
Hawaii,Urinary Bladder,2017,Male and Female,All Races,14.9,281,1424203,53,HI
Idaho,Urinary Bladder,2017,Male and Female,All Races,20.8,418,1718904,96,ID
Illinois,Urinary Bladder,2017,Male and Female,All Races,20.1,3064,12786196,672,IL
Indiana,Urinary Bladder,2017,Male and Female,All Races,20.5,1634,6660082,357,IN
Iowa,Urinary Bladder,2017,Male and Female,All Races,21.3,871,3143637,172,IA
Kansas,Urinary Bladder,2017,Male and Female,All Races,21,730,2910689,143,KS
Kentucky,Urinary Bladder,2017,Male and Female,All Races,22.8,1252,4453874,267,KY
Louisiana,Urinary Bladder,2017,Male and Female,All Races,18.2,1002,4670818,203,LA
Maine,Urinary Bladder,2017,Male and Female,All Races,27.9,554,1335063,124,ME
Maryland,Urinary Bladder,2017,Male and Female,All Races,14.1,1009,6024891,298,MD
Massachusetts,Urinary Bladder,2017,Male and Female,All Races,21.4,1841,6863246,430,MA
Michigan,Urinary Bladder,2017,Male and Female,All Races,20.7,2672,9976447,616,MI
Minnesota,Urinary Bladder,2017,Male and Female,All Races,21.7,1460,5568155,259,MN
Mississippi,Urinary Bladder,2017,Male and Female,All Races,17,607,2989663,129,MS
Missouri,Urinary Bladder,2017,Male and Female,All Races,19.8,1527,6108612,337,MO
Montana,Urinary Bladder,2017,Male and Female,All Races,22.2,320,1053090,71,MT
Nebraska,Urinary Bladder,2017,Male and Female,All Races,20.8,479,1917575,88,NE
Nevada,Urinary Bladder,2017,Male and Female,All Races,18.7,657,2972405,161,NV
New Hampshire,Urinary Bladder,2017,Male and Female,All Races,27.6,504,1349767,96,NH
New Jersey,Urinary Bladder,2017,Male and Female,All Races,22.9,2554,8888543,530,NJ
New Mexico,Urinary Bladder,2017,Male and Female,All Races,13.2,351,2093395,89,NM
New York,Urinary Bladder,2017,Male and Female,All Races,22.2,5445,19590719,1001,NY
North Carolina,Urinary Bladder,2017,Male and Female,All Races,20.2,2517,10270800,464,NC
North Dakota,Urinary Bladder,2017,Male and Female,All Races,19.8,173,755176,26,ND
Ohio,Urinary Bladder,2017,Male and Female,All Races,21.2,3206,11664129,725,OH
Oklahoma,Urinary Bladder,2017,Male and Female,All Races,18,826,3932640,215,OK
Oregon,Urinary Bladder,2017,Male and Female,All Races,19.9,1063,4146592,254,OR
Pennsylvania,Urinary Bladder,2017,Male and Female,All Races,22.7,3990,12790447,832,PA
Rhode Island,Urinary Bladder,2017,Male and Female,All Races,23.3,326,1056486,75,RI
South Carolina,Urinary Bladder,2017,Male and Female,All Races,17.3,1110,5021219,258,SC
South Dakota,Urinary Bladder,2017,Male and Female,All Races,17.3,193,873286,48,SD
Tennessee,Urinary Bladder,2017,Male and Female,All Races,19.7,1625,6708794,345,TN
Texas,Urinary Bladder,2017,Male and Female,All Races,14.6,4010,28322717,966,TX
Utah,Urinary Bladder,2017,Male and Female,All Races,17.6,468,3103118,84,UT
Vermont,Urinary Bladder,2017,Male and Female,All Races,25.6,231,624525,41,VT
Virginia,Urinary Bladder,2017,Male and Female,All Races,16.4,1624,8465207,440,VA
Washington,Urinary Bladder,2017,Male and Female,All Races,20.6,1768,7425432,379,WA
West Virginia,Urinary Bladder,2017,Male and Female,All Races,21.6,575,1817048,125,WV
Wisconsin,Urinary Bladder,2017,Male and Female,All Races,22,1633,5792051,322,WI
Wyoming,Urinary Bladder,2017,Male and Female,All Races,21.4,153,578934,18,WY
