Area,CancerType,Year,Sex,Race,AgeAdjustedRate,DeathCount,Population
Michigan,Thyroid,2017,Male and Female,All Races,0.4,49,9976447
Massachusetts,Thyroid,2017,Male and Female,All Races,0.6,47,6863246
Connecticut,Thyroid,2017,Male and Female,All Races,0.5,22,3573880
Nevada,Urinary Bladder,2017,Male and Female,All Races,5,161,2972405
Idaho,Urinary Bladder,2017,Male and Female,All Races,5.1,96,1718904
Wyoming,Urinary Bladder,2017,Male and Female,All Races,2.6,18,578934
Colorado,Urinary Bladder,2017,Male and Female,All Races,4,225,5615902
Georgia,Urinary Bladder,2017,Male and Female,All Races,4.4,459,10413055
Texas,Urinary Bladder,2017,Male and Female,All Races,3.7,966,28322717
Montana,Urinary Bladder,2017,Male and Female,All Races,5,71,1053090
Utah,Urinary Bladder,2017,Male and Female,All Races,3.3,84,3103118
New Mexico,Urinary Bladder,2017,Male and Female,All Races,3.5,89,2093395
California,Urinary Bladder,2017,Male and Female,All Races,3.8,1649,39399349
Alaska,Urinary Bladder,2017,Male and Female,All Races,4.5,27,739786
Oregon,Urinary Bladder,2017,Male and Female,All Races,4.9,254,4146592
Virginia,Urinary Bladder,2017,Male and Female,All Races,4.6,440,8465207
Mississippi,Urinary Bladder,2017,Male and Female,All Races,3.8,129,2989663
West Virginia,Urinary Bladder,2017,Male and Female,All Races,4.8,125,1817048
Washington,Urinary Bladder,2017,Male and Female,All Races,4.5,379,7425432
Tennessee,Urinary Bladder,2017,Male and Female,All Races,4.4,345,6708794
Rhode Island,Urinary Bladder,2017,Male and Female,All Races,5.1,75,1056486
Minnesota,Urinary Bladder,2017,Male and Female,All Races,3.8,259,5568155
Florida,Urinary Bladder,2017,Male and Female,All Races,4.4,1436,20976812
Oklahoma,Urinary Bladder,2017,Male and Female,All Races,4.6,215,3932640
Maryland,Urinary Bladder,2017,Male and Female,All Races,4.2,298,6024891
North Carolina,Urinary Bladder,2017,Male and Female,All Races,3.8,464,10270800
South Dakota,Urinary Bladder,2017,Male and Female,All Races,4.3,48,873286
Missouri,Urinary Bladder,2017,Male and Female,All Races,4.3,337,6108612
Maine,Urinary Bladder,2017,Male and Female,All Races,6.2,124,1335063
Kansas,Urinary Bladder,2017,Male and Female,All Races,4,143,2910689
Hawaii,Urinary Bladder,2017,Male and Female,All Races,2.8,53,1424203
District of Columbia,Urinary Bladder,2017,Male and Female,All Races,4.5,30,695691
North Dakota,Urinary Bladder,2017,Male and Female,All Races,2.7,26,755176
Delaware,Urinary Bladder,2017,Male and Female,All Races,3.9,47,957078
Nebraska,Urinary Bladder,2017,Male and Female,All Races,3.7,88,1917575
Arkansas,Urinary Bladder,2017,Male and Female,All Races,4.2,159,3002997
Iowa,Urinary Bladder,2017,Male and Female,All Races,4.2,172,3143637
Wisconsin,Urinary Bladder,2017,Male and Female,All Races,4.3,322,5792051
Pennsylvania,Urinary Bladder,2017,Male and Female,All Races,4.5,832,12790447
Kentucky,Urinary Bladder,2017,Male and Female,All Races,4.9,267,4453874
Alabama,Urinary Bladder,2017,Male and Female,All Races,4.1,242,4875120
South Carolina,Urinary Bladder,2017,Male and Female,All Races,4.3,258,5021219
Louisiana,Urinary Bladder,2017,Male and Female,All Races,3.8,203,4670818
Vermont,Urinary Bladder,2017,Male and Female,All Races,4.6,41,624525
Arizona,Urinary Bladder,2017,Male and Female,All Races,4.1,365,7048876
Ohio,Urinary Bladder,2017,Male and Female,All Races,4.8,725,11664129
New Jersey,Urinary Bladder,2017,Male and Female,All Races,4.6,530,8888543
New Hampshire,Urinary Bladder,2017,Male and Female,All Races,5.4,96,1349767
New York,Urinary Bladder,2017,Male and Female,All Races,4,1001,19590719
Illinois,Urinary Bladder,2017,Male and Female,All Races,4.4,672,12786196
Indiana,Urinary Bladder,2017,Male and Female,All Races,4.5,357,6660082
Massachusetts,Urinary Bladder,2017,Male and Female,All Races,4.9,430,6863246
Michigan,Urinary Bladder,2017,Male and Female,All Races,4.8,616,9976447
Connecticut,Urinary Bladder,2017,Male and Female,All Races,4.2,209,3573880
Wyoming,Corpus and Uterus NOS,2017,Female,All Races,Data Suppressed,Data Suppressed,283606
Nevada,Corpus and Uterus NOS,2017,Female,All Races,4.6,84,1481115
Rhode Island,Corpus and Uterus NOS,2017,Female,All Races,5.6,46,542930
Colorado,Corpus and Uterus NOS,2017,Female,All Races,4,131,2789162
Georgia,Corpus and Uterus NOS,2017,Female,All Races,5,323,5346767
Montana,Corpus and Uterus NOS,2017,Female,All Races,4.1,31,522925
Texas,Corpus and Uterus NOS,2017,Female,All Races,4.4,681,14250938
Maryland,Corpus and Uterus NOS,2017,Female,All Races,6.3,249,3104138
Idaho,Corpus and Uterus NOS,2017,Female,All Races,5.5,61,857853
New Mexico,Corpus and Uterus NOS,2017,Female,All Races,4.3,63,1057085
Utah,Corpus and Uterus NOS,2017,Female,All Races,4,58,1540313
California,Corpus and Uterus NOS,2017,Female,All Races,5,1201,19817679
Alaska,Corpus and Uterus NOS,2017,Female,All Races,Data Suppressed,Data Suppressed,353363
Oregon,Corpus and Uterus NOS,2017,Female,All Races,4.8,138,2091356
Virginia,Corpus and Uterus NOS,2017,Female,All Races,4.4,253,4299620
District of Columbia,Corpus and Uterus NOS,2017,Female,All Races,13,51,365633
Mississippi,Corpus and Uterus NOS,2017,Female,All Races,3.8,80,1539413
West Virginia,Corpus and Uterus NOS,2017,Female,All Races,4.3,62,917552
Tennessee,Corpus and Uterus NOS,2017,Female,All Races,4.2,199,3435687
Nebraska,Corpus and Uterus NOS,2017,Female,All Races,5.2,60,960319
Minnesota,Corpus and Uterus NOS,2017,Female,All Races,5,182,2795630
Arkansas,Corpus and Uterus NOS,2017,Female,All Races,5,103,1527580
Oklahoma,Corpus and Uterus NOS,2017,Female,All Races,4.8,120,1984478
Iowa,Corpus and Uterus NOS,2017,Female,All Races,5.3,121,1579859
Florida,Corpus and Uterus NOS,2017,Female,All Races,4.7,785,10720481
Wisconsin,Corpus and Uterus NOS,2017,Female,All Races,5.3,210,2911661
North Carolina,Corpus and Uterus NOS,2017,Female,All Races,5.3,382,5272479
Pennsylvania,Corpus and Uterus NOS,2017,Female,All Races,5.7,562,6526911
South Dakota,Corpus and Uterus NOS,2017,Female,All Races,6,34,432265
Missouri,Corpus and Uterus NOS,2017,Female,All Races,5.3,232,3109948
Kentucky,Corpus and Uterus NOS,2017,Female,All Races,4.1,123,2259543
Maine,Corpus and Uterus NOS,2017,Female,All Races,5.4,62,681341
South Carolina,Corpus and Uterus NOS,2017,Female,All Races,5.3,189,2585760
Kansas,Corpus and Uterus NOS,2017,Female,All Races,4.7,93,1460471
Louisiana,Corpus and Uterus NOS,2017,Female,All Races,4.5,144,2388820
Alabama,Corpus and Uterus NOS,2017,Female,All Races,3.6,123,2516043
Vermont,Corpus and Uterus NOS,2017,Female,All Races,6.2,30,316120
Hawaii,Corpus and Uterus NOS,2017,Female,All Races,5.2,46,710021
Arizona,Corpus and Uterus NOS,2017,Female,All Races,4.2,201,3544856
Washington,Corpus and Uterus NOS,2017,Female,All Races,4.6,217,3711772
Ohio,Corpus and Uterus NOS,2017,Female,All Races,5.6,472,5947760
North Dakota,Corpus and Uterus NOS,2017,Female,All Races,3.8,20,368134
New Jersey,Corpus and Uterus NOS,2017,Female,All Races,5.9,371,4548298
Delaware,Corpus and Uterus NOS,2017,Female,All Races,5.3,39,494227
New Hampshire,Corpus and Uterus NOS,2017,Female,All Races,5.9,61,681409
New York,Corpus and Uterus NOS,2017,Female,All Races,6,833,10079494
Illinois,Corpus and Uterus NOS,2017,Female,All Races,5.5,469,6504145
Indiana,Corpus and Uterus NOS,2017,Female,All Races,4.6,206,3376776
Massachusetts,Corpus and Uterus NOS,2017,Female,All Races,4.5,225,3532186
Michigan,Corpus and Uterus NOS,2017,Female,All Races,5.8,416,5065155
Connecticut,Corpus and Uterus NOS,2017,Female,All Races,4.8,130,1830414
